Paese,Regione/Stato,Zip/Codice postale,Subtotale ordine (e superiore),Prezzo spedizione
ITA,*,*,0.0000,0.0000
ITA,*,00051,0.0000,0.0000
ITA,*,00059,0.0000,0.0000
ITA,*,02025,0.0000,0.0000
ITA,*,03016,0.0000,0.0000
ITA,*,03040,0.0000,0.0000
ITA,*,04020,0.0000,0.0000
ITA,*,04025,0.0000,0.0000
ITA,*,04027,0.0000,0.0000
ITA,*,06027,0.0000,0.0000
ITA,*,06069,0.0000,0.0000
ITA,*,07024,0.0000,0.0000
ITA,*,07046,0.0000,0.0000
ITA,*,09014,0.0000,0.0000
ITA,*,10080,0.0000,0.0000
ITA,*,13010,0.0000,0.0000
ITA,*,13019,0.0000,0.0000
ITA,*,13028,0.0000,0.0000
ITA,*,13030,0.0000,0.0000
ITA,*,13884,0.0000,0.0000
ITA,*,13888,0.0000,0.0000
ITA,*,15050,0.0000,0.0000
ITA,*,15056,0.0000,0.0000
ITA,*,15060,0.0000,0.0000
ITA,*,16032,0.0000,0.0000
ITA,*,16039,0.0000,0.0000
ITA,*,16046,0.0000,0.0000
ITA,*,16048,0.0000,0.0000
ITA,*,17010,0.0000,0.0000
ITA,*,17019,0.0000,0.0000
ITA,*,17030,0.0000,0.0000
ITA,*,17034,0.0000,0.0000
ITA,*,17037,0.0000,0.0000
ITA,*,17042,0.0000,0.0000
ITA,*,17046,0.0000,0.0000
ITA,*,17048,0.0000,0.0000
ITA,*,18025,0.0000,0.0000
ITA,*,19020,0.0000,0.0000
ITA,*,19025,0.0000,0.0000
ITA,*,21010,0.0000,0.0000
ITA,*,23010,0.0000,0.0000
ITA,*,23020,0.0000,0.0000
ITA,*,23023,0.0000,0.0000
ITA,*,23029,0.0000,0.0000
ITA,*,23030,0.0000,0.0000
ITA,*,23031,0.0000,0.0000
ITA,*,24014,0.0000,0.0000
ITA,*,25040,0.0000,0.0000
ITA,*,25050,0.0000,0.0000
ITA,*,25080,0.0000,0.0000
ITA,*,28862,0.0000,0.0000
ITA,*,29010,0.0000,0.0000
ITA,*,30124,0.0000,0.0000
ITA,*,30126,0.0000,0.0000
ITA,*,30133,0.0000,0.0000
ITA,*,30141,0.0000,0.0000
ITA,*,30142,0.0000,0.0000
ITA,*,32010,0.0000,0.0000
ITA,*,32030,0.0000,0.0000
ITA,*,32041,0.0000,0.0000
ITA,*,33020,0.0000,0.0000
ITA,*,33040,0.0000,0.0000
ITA,*,33080,0.0000,0.0000
ITA,*,33090,0.0000,0.0000
ITA,*,38010,0.0000,0.0000
ITA,*,38029,0.0000,0.0000
ITA,*,38035,0.0000,0.0000
ITA,*,38037,0.0000,0.0000
